"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Vstm2b"	-0.451378021396945	5.40415347965829	-7.99157308967112	1.66403103277375e-10	2.79714858551201e-08	13.6625229088105
"Sema3a"	-0.946222294797335	5.18463842380401	-7.97123941784258	1.78931658186713e-10	2.94573159750888e-08	13.6219408371005
"Pstpip1"	-0.897587359062081	2.62826587982228	-7.88293548639133	2.45317842839222e-10	3.84066728656817e-08	13.449102216249
"Nuak1"	0.494333302051414	5.8630662867182	7.92864988141139	2.08332315909351e-10	3.36046338662266e-08	13.3998650976109
"Tmem164"	-0.586890487197414	6.33274321545103	-7.92179186972915	2.13501151987426e-10	3.40939989608721e-08	13.3533037453823
"Chml"	0.688349912988837	4.03374160910108	7.85800472673887	2.68199628401682e-10	4.04045270372308e-08	13.3282436725355
"St6galnac3"	0.291245857167384	4.72836659405836	7.86327177750984	2.63193182996599e-10	4.00279232311685e-08	13.2742313673214
"Acbd4"	0.410521830130071	5.24099406702278	7.87194246373116	2.55155175047847e-10	3.9178586445568e-08	13.2550649843123
"Ccdc68"	1.35873052945373	1.31242583720925	7.87299137670919	2.54199672904304e-10	3.9178586445568e-08	13.2199893375479
"Negr1"	-0.978412289086057	7.30892597461772	-7.88772632134056	2.41150758574861e-10	3.81280837988313e-08	13.2057464241088
"Dclk3"	-0.702599799026243	4.76850971953013	-7.82223712544305	3.04824669205517e-10	4.54929452574103e-08	13.1246239569479
"Rffl"	0.556015359738494	2.97846115455278	7.7852033650474	3.4805205685911e-10	5.05276663271194e-08	13.1196868599922
"Clspn"	0.940532651914556	3.32886799565406	7.73979121528889	4.09556864776063e-10	5.78779962266278e-08	12.9538530698647
"Elmo1"	0.458366643459648	6.04448460712389	7.78628302037767	3.46708640413941e-10	5.05276663271194e-08	12.8814827810082
"Mapk3"	-0.303424587389573	7.22907506661858	-7.76486979903487	3.74352692037357e-10	5.38561994517527e-08	12.7668908041771
"Pea15"	-0.303044938716147	8.87444235666237	-7.75484212114585	3.88049032570781e-10	5.53281696528821e-08	12.71569967002
"Rtp2"	-1.85380803777564	-2.17354150603542	-7.80652222731877	3.22467077964538e-10	4.768034044459e-08	12.6816885236622
"Plekhh1"	0.742979508932383	4.02059237618681	7.64901511985902	5.67183700069316e-10	7.67572585288721e-08	12.5963686556248
"Trhr"	-1.5266218014109	1.52400057323934	-7.67949243130959	5.08423807910314e-10	7.06001720740852e-08	12.5943697494475
"Pde4b"	-0.386006281727383	5.86525395797574	-7.69958116548443	4.73074583450409e-10	6.62677896764876e-08	12.5787487055092
"Dcc"	0.436146625561481	6.23841734301159	7.67342201069181	5.19618713292276e-10	7.15326830393479e-08	12.4707678227487
"Hs6st2"	0.643087682538342	5.91907487287592	7.65310606764024	5.58916523475031e-10	7.62849398578869e-08	12.4272816606382
"Trpc7"	-1.40783879156684	1.43118660635753	-7.62277953866781	6.23199683915657e-10	8.36292080037741e-08	12.337025544732
