"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Tdg"	1.37161172017392	6.63479980592764	47.882741562639	1.41211060000399e-43	1.12749970857318e-40	89.4389141921439
"Kcnab2"	-2.7926250049666	5.87621671048629	-47.6825183740348	1.73510485753944e-43	1.31942330809749e-40	89.232493408111
"Kiaa0895l"	2.48538952861639	6.6362975396652	46.6377465011807	5.1526275434524e-43	3.74010496551779e-40	88.1467122018865
"Sdc3"	1.85026125892271	9.42363190242766	46.546869220793	5.67052583999813e-43	3.93707074517087e-40	88.0376026511951
"Kdm2b"	2.40329036427137	6.55040264374456	45.7974749053842	1.25779261919353e-42	8.36903763995895e-40	87.2544812622427
"Lpcat1"	1.74673916637898	6.53731056412219	44.9612349864557	3.10545644671363e-42	1.9836413599028e-39	86.3466830553224
"Casp3"	2.64874709244697	6.39410550996835	44.4428058471093	5.48244801730453e-42	3.027207463641e-39	85.7835628509238
"Bcl2l2"	-1.55035799312937	7.1859278555871	-44.4479557077577	5.45141164427558e-42	3.027207463641e-39	85.7713020474457
"Mapre1"	1.71420666725348	7.6772299906931	44.4403247626169	5.49746486602724e-42	3.027207463641e-39	85.7623366191484
"Gng2"	1.94773085910815	9.24625802391608	44.440820532114	5.49446085561461e-42	3.027207463641e-39	85.7577072516101
"Tef"	-1.72308980004422	7.85737614887448	-44.3800915683334	5.87518317736765e-42	3.1273600053128e-39	85.6928079588539
"Nr1d2"	-2.17423608904596	5.73489457003601	-44.343824584336	6.11527001703451e-42	3.15015312587175e-39	85.6740374811006
"Tuba1a"	2.58642400847407	10.9727805235884	43.8131560936633	1.10278700234121e-41	5.50325176262088e-39	85.0554101711757
"Traf4"	2.12348472987387	5.44649300134117	43.7704212599938	1.15675542542609e-41	5.59764466322096e-39	85.0356300294358
"Tmem25"	-2.08821975786213	4.53390016853145	-43.6519007136289	1.32096122483167e-41	5.8974382569884e-39	84.8901941600806
"Jade2"	-2.65460057520466	4.18277977826748	-43.6827327742338	1.27608331004385e-41	5.8974382569884e-39	84.8817343504557
"Tmem229b"	1.58610935359211	7.47801224053515	43.6461557903702	1.32949951312908e-41	5.8974382569884e-39	84.8766856391816
"Csdc2"	2.15892937391653	7.18303142214719	43.5354055248253	1.50556148146593e-41	6.49792197230526e-39	84.7578526372081
"Ppp1r14c"	2.30038725521666	5.76570918426786	43.3518205193892	1.85146958430991e-41	7.7805573136434e-39	84.5686341386406
"LOC294154"	-1.2441646086898	7.72755214847401	-43.1379086552647	2.35845920240942e-41	9.65698333417336e-39	84.2964068653526
"Kcnip3"	-2.40636122197355	5.68908494133005	-42.9619260893779	2.88053943730415e-41	1.12193498230024e-38	84.1251646801961
"Dusp3"	-2.12364142631602	7.2249196922016	-42.971933757995	2.84790903503099e-41	1.12193498230024e-38	84.1128547868296
"Prex2"	-3.5597164667853	6.7069259373069	-42.8629601303181	3.22448769469081e-41	1.22599628563137e-38	84.0038594079995
"Tf"	-4.51373819506691	4.79296609845552	-42.7251809614491	3.77431794631487e-41	1.40167635545819e-38	83.7993103976652
"Camk2n1"	-2.63558484451916	7.21110554404194	-42.6045472598723	4.33390079471792e-41	1.5729104952466e-38	83.6926970394267
"Dlgap1"	-1.27677243208621	8.10304473924999	-42.1997995105974	6.91048489106966e-41	2.45230073834425e-38	83.2138979153062
"Dstyk"	-1.23855997259703	6.62233185975204	-42.0815645304725	7.92588738931985e-41	2.75148903739236e-38	83.0868927259625
"Sept8"	-2.19035195383842	7.10227082212378	-41.6997934751192	1.23703401779866e-40	4.20302047451634e-38	82.6363999332687
"Htra1"	-3.06608516786003	4.98024393221698	-41.6452975038789	1.31860723704245e-40	4.3868414517356e-38	82.6022411841842
"Lgi4"	-3.7973091459905	3.94104304437128	-41.3968085829439	1.76608386172602e-40	5.7556312628373e-38	82.1821398278534
"Ephx4"	-3.30959710112262	4.47918575174822	-41.2424853226444	2.11924977444036e-40	6.76845992960762e-38	82.1071544574725
