"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Kank4"	1.62454067613639	3.08561614986449	14.7653129446053	6.63804757455615e-20	2.40915867541107e-17	35.1143237606354
"Tmem178a"	-0.962502997786276	6.10055029195757	-14.8268976809771	5.59604910098867e-20	2.07821646729507e-17	35.0651481902592
"Drd5"	-3.79842198540747	-0.434174108702487	-14.8766908666829	4.87601451178581e-20	1.85393037473113e-17	35.0192278971044
"Itgb4"	4.81596341573327	2.40400138576315	14.6320703390634	9.6196851837839e-20	3.26844154680522e-17	34.6256596310733
"Cubn"	2.90391493991264	1.28842774015096	14.6694042936426	8.66807364311302e-20	3.07601040015271e-17	34.5706255576445
"Aldh2"	0.850585239176131	5.8234639536488	14.6348492773841	9.54533260790176e-20	3.26844154680522e-17	34.5351331773361
"Traip"	-1.22333351597863	3.80492021946967	-14.5082342108154	1.36061807628895e-19	4.34554201205164e-17	34.3769262942157
"Rprm"	-3.2948866196932	4.06963926141901	-14.4986424416339	1.39775992152076e-19	4.37663297779705e-17	34.3599950613318
"Txnip"	1.52131221637274	6.34614979015404	14.5416020338461	1.23903782382125e-19	4.03799898134724e-17	34.2720879402677
"Anxa8"	4.23933939586318	-1.07019447148623	14.5831329810172	1.10298403293161e-19	3.66949000455935e-17	34.1820066291229
"Plod1"	1.11183659430559	4.63729935476964	14.4376122187589	1.65946018709318e-19	5.09613840917134e-17	34.0883732060433
"Ociad2"	-1.07355643232728	5.24186312117767	-14.3537647781209	2.10226025568217e-19	6.33414981565822e-17	33.8087452358819
"Fkbp9"	1.5754996728532	5.33354221008597	14.3417562634531	2.17484437556152e-19	6.43149811728553e-17	33.7690547307773
"Atp1a2"	1.32756555182982	9.75872457156832	14.3264320672215	2.27117864060548e-19	6.59426394760525e-17	33.5936134677737
"Sox5"	-1.12680204468246	5.70421861047015	-14.2539986525893	2.78863199487547e-19	7.81257268880112e-17	33.4930169451467
"Tnfrsf1a"	1.0434412061803	3.55604971571082	14.1854751117678	3.38824950197544e-19	8.99686006737106e-17	33.4780095146167
"Heph"	1.53920814214631	3.36540395192519	14.1754206853381	3.48664200841653e-19	8.99686006737106e-17	33.463360187352
"Stom"	1.1366369023723	3.4628012608596	14.1747757898809	3.49305106253996e-19	8.99686006737106e-17	33.4592552550976
"Abcb1a"	1.01684250170482	5.04393607980942	14.2085531709495	3.1729294930158e-19	8.58788323287615e-17	33.4042002489135
"Cdk18"	-1.07565060091532	3.07495660659642	-14.140260799935	3.85410646949556e-19	9.65947758808134e-17	33.3714882752208
"Foxc2"	4.7649438066964	0.231478994395937	14.2122504075235	3.13974799148081e-19	8.58788323287615e-17	33.3573328748693
"Mfap5"	3.84270861764672	-1.16453263583723	14.2672354564076	2.68584313203546e-19	7.65896945990612e-17	33.3316676236734
"Cpxm1"	1.24152078669533	4.58341458957161	14.1096847646775	4.20552553656185e-19	1.00235876557248e-16	33.2212262110153
"Pear1"	1.31270952252576	4.32931122326707	14.1141896835786	4.15177353073573e-19	1.00235876557248e-16	33.2065545981386
